,id0,id1,points_0,points_1
0,Rice,Southern Miss,44,17
0,Colorado,Oregon,14,70
0,Arizona State,UCLA,43,45
0,BYU,Georgia Tech,41,17
0,Memphis,SMU,13,44
0,Florida,Georgia,9,17
0,Kansas State,Texas Tech,55,24
0,Arizona,Southern Cal,39,36
0,Duke,Florida State,7,48
0,Kent State,Rutgers,35,23
0,Boise State,Wyoming,45,14
0,"Miami, OH",Ohio,23,20
0,Michigan State,Wisconsin,16,13
0,Minnesota,Purdue,44,28
0,East Carolina,Navy,28,56
0,Fresno State,New Mexico,49,32
0,Bowling Green,E. Michigan,24,3
0,Oklahoma State,TCU,36,14
0,Buffalo,Toledo,20,25
0,Akron,C. Michigan,14,35
0,MTSU,North Texas,38,21
0,Tulane,UAB,55,45
0,Houston,UTEP,45,35
0,Florida Atlantic,Troy,34,27
0,Ohio State,Penn State,35,23
0,FIU,W. Kentucky,6,14
0,Stanford,Washington State,24,17
0,Auburn,Texas A&M,21,63
0,Colorado State,Hawaii,42,27
0,South Florida,Syracuse,36,37
0,Baylor,Iowa State,21,35
0,Notre Dame,Oklahoma,30,13
0,Michigan,Nebraska,9,23
0,Nevada,San Diego State,13,24
0,La. Tech,New Mexico State,28,14
0,Marshall,UCF,17,54
0,Alabama,Mississippi State,38,7
0,California,Utah,27,49
0,Oregon State,Washington,17,20
0,E. Michigan,Ohio,14,45
0,"Miami, FL",Virginia Tech,30,12
0,MTSU,W. Kentucky,34,29
0,California,Washington,13,21
0,Florida,Missouri,14,7
0,Louisville,Temple,45,17
0,Iowa State,Oklahoma,20,35
0,Mississippi State,Texas A&M,13,38
0,Kentucky,Vanderbilt,0,40
0,Michigan,Minnesota,35,13
0,East Carolina,Houston,48,28
0,Air Force,Army,21,41
0,Buffalo,"Miami, OH",27,24
0,Cincinnati,Syracuse,35,24
0,Tennessee,Troy,55,48
0,Arkansas,Tulsa,19,15
0,Auburn,New Mexico State,42,7
0,Georgia Tech,Maryland,33,13
0,N.C. State,Virginia,6,33
0,C. Michigan,W. Michigan,31,42
0,Colorado,Stanford,0,48
0,Marshall,Memphis,38,28
0,Akron,Kent State,24,35
0,TCU,West Virginia,39,38
0,Utah,Washington State,49,6
0,Notre Dame,Pittsburgh,29,26
0,Georgia,Mississippi,37,10
0,Texas,Texas Tech,31,22
0,Michigan State,Nebraska,24,28
0,Indiana,Iowa,24,21
0,Boston College,Wake Forest,14,28
0,Illinois,Ohio State,22,52
0,Baylor,Kansas,41,14
0,Florida Atlantic,Navy,17,24
0,Penn State,Purdue,34,9
0,Rice,Tulane,49,47
0,La.-Lafayette,La.-Monroe,40,24
0,New Mexico,UNLV,7,35
0,Colorado State,Wyoming,31,45
0,Idaho,San Jose State,13,42
0,Arkansas State,North Texas,37,19
0,Oregon,Southern Cal,62,51
0,Clemson,Duke,56,20
0,Connecticut,South Florida,6,13
0,Fresno State,Hawaii,45,10
0,SMU,UCF,17,42
0,Southern Miss,UAB,19,27
0,Alabama,LSU,21,17
0,Kansas State,Oklahoma State,44,30
0,Arizona State,Oregon State,26,36
0,Boise State,San Diego State,19,21
0,Arizona,UCLA,10,66
0,Ball State,Toledo,34,27
0,Bowling Green,Ohio,26,14
0,Arkansas State,La.-Monroe,45,23
0,Florida State,Virginia Tech,28,22
0,Connecticut,Pittsburgh,24,17
0,Arkansas,South Carolina,20,38
0,Louisville,Syracuse,26,45
0,Iowa State,Texas,7,33
0,Kansas,Texas Tech,34,41
0,Army,Rutgers,7,28
0,Michigan,Northwestern,38,31
0,Indiana,Wisconsin,14,62
0,Cincinnati,Temple,34,10
0,"Miami, FL",Virginia,40,41
0,Iowa,Purdue,24,27
0,Florida,La.-Lafayette,27,20
0,Missouri,Tennessee,51,48
0,Georgia Tech,North Carolina,68,50
0,Florida Atlantic,W. Kentucky,37,28
0,Kent State,"Miami, OH",48,32
0,C. Michigan,E. Michigan,34,31
0,Arizona,Colorado,56,31
0,Oregon State,Stanford,23,27
0,Arizona State,Southern Cal,17,38
0,N.C. State,Wake Forest,37,6
0,Alabama,Texas A&M,24,29
0,Baylor,Oklahoma,34,42
0,Clemson,Maryland,45,10
0,Nebraska,Penn State,32,23
0,Air Force,San Diego State,9,28
0,New Mexico State,San Jose State,7,47
0,New Mexico,Wyoming,23,28
0,Oklahoma State,West Virginia,55,34
0,Illinois,Minnesota,3,17
0,Buffalo,W. Michigan,29,24
0,Navy,Troy,31,41
0,Marshall,UAB,31,38
0,Houston,Tulsa,7,41
0,Kansas State,TCU,23,10
0,Auburn,Georgia,0,38
0,LSU,Mississippi State,37,17
0,Colorado State,UNLV,33,11
