,id0,id1,points_0,points_1,spread,over_under
0,Arkansas,Auburn,54,46,7.0,None
0,Boston College,Louisville,14,17,7.5,None
0,Navy,Tulane,31,14,25.0,None
0,Bowling Green,Kent State,48,0,13.0,None
0,Air Force,Fresno State,42,14,17.0,None
0,"Miami, OH",W. Michigan,13,35,24.5,None
0,Ball State,C. Michigan,21,23,7.5,None
0,E. Michigan,N. Illinois,21,49,28.0,None
0,North Carolina,Virginia,26,13,16.5,None
0,Buffalo,Ohio,41,17,3.0,None
0,La. Tech,MTSU,45,14,7.0,None
0,Marshall,North Texas,30,13,27.5,None
0,Illinois,Wisconsin,13,24,4.5,None
0,Maryland,Penn State,30,31,6.0,None
0,Arizona,Washington State,42,45,-6.0,None
0,Missouri,Vanderbilt,3,10,-1.5,None
0,SMU,South Florida,14,38,12.0,None
0,Hawaii,Nevada,20,30,7.5,None
0,Cincinnati,Connecticut,37,13,11.0,None
0,Idaho,La.-Monroe,27,13,1.0,None
0,FIU,Old Dominion,41,12,14.0,None
0,FAU,UTEP,17,27,-5.0,None
0,South Alabama,Texas State,18,36,-2.0,None
0,New Mexico,San Jose State,21,31,7.5,None
0,Kentucky,Mississippi State,16,42,13.0,None
0,New Mexico State,Troy,7,52,3.0,None
0,Boise State,Wyoming,34,14,34.5,None
0,Colorado,Oregon State,17,13,-1.0,None
0,TCU,West Virginia,40,10,12.0,None
0,North Carolina,Pittsburgh,26,19,1.0,None
0,E. Michigan,W. Michigan,28,58,18.5,None
0,Buffalo,"Miami, OH",29,24,7.0,None
0,Georgia Southern,Texas State,37,13,20.5,None
0,Arizona State,Oregon,55,61,-2.5,None
0,Louisville,Wake Forest,20,19,11.5,None
0,Connecticut,East Carolina,31,13,-5.5,None
0,La. Tech,Rice,42,17,11.0,None
0,Utah State,Wyoming,58,27,25.5,None
0,Clemson,N.C. State,56,41,13.0,None
0,Stanford,Washington State,30,28,10.0,None
0,Notre Dame,Temple,24,20,11.0,None
0,Iowa,Maryland,31,15,18.0,None
0,Florida,Georgia,27,3,-0.0,None
0,Oklahoma State,Texas Tech,70,53,2.5,None
0,Oregon State,Utah,12,27,26.5,None
0,Kansas,Oklahoma,7,62,39.5,None
0,Michigan,Minnesota,29,26,11.5,None
0,Memphis,Tulane,41,13,30.5,None
0,Florida State,Syracuse,45,21,16.0,None
0,Houston,Vanderbilt,34,0,11.0,None
0,Auburn,Mississippi,19,27,8.5,None
0,Duke,"Miami, FL",27,30,-10.0,None
0,Colorado,UCLA,31,35,23.5,None
0,Old Dominion,W. Kentucky,30,55,25.0,None
0,Cincinnati,UCF,52,7,26.0,None
0,Navy,South Florida,29,17,6.5,None
0,Illinois,Penn State,0,39,4.0,None
0,Nebraska,Purdue,45,55,-8.0,None
0,Rutgers,Wisconsin,10,48,19.0,None
0,South Carolina,Texas A&M,28,35,14.5,None
0,Boston College,Virginia Tech,10,26,3.5,None
0,Ball State,Massachusetts,20,10,-0.0,None
0,Akron,C. Michigan,6,14,3.0,None
0,Southern Miss,UTEP,34,13,24.0,None
0,Georgia Tech,Virginia,21,27,-4.5,None
0,California,Southern Cal,21,27,4.5,None
0,FAU,FIU,31,17,-2.5,None
0,Boise State,UNLV,55,27,21.0,None
0,Colorado State,San Diego State,17,41,3.0,None
0,Appalachian State,Troy,44,41,24.0,None
0,SMU,Tulsa,31,40,1.0,None
0,La.-Lafayette,La.-Monroe,30,24,10.0,None
0,Arkansas State,Georgia State,48,34,17.0,None
0,Iowa State,Texas,24,0,-3.5,None
0,North Texas,UTSA,30,23,-7.0,None
0,Kentucky,Tennessee,21,52,10.5,None
0,Idaho,New Mexico State,48,55,-7.0,None
0,Air Force,Hawaii,58,7,7.0,None
0,Arizona,Washington,3,49,6.0,None
0,N. Illinois,Toledo,32,27,-7.0,None
0,Bowling Green,Ohio,62,24,21.0,None
0,Baylor,Kansas State,31,24,17.0,None
0,Mississippi State,Missouri,31,13,7.5,None
0,Buffalo,Kent State,18,17,-1.0,None
0,Ball State,W. Michigan,7,54,15.0,None
0,Appalachian State,Arkansas State,27,40,-12.5,None
0,Fresno State,Nevada,16,30,4.0,None
0,SMU,Temple,40,60,13.5,None
0,Rice,UTEP,21,24,-5.5,None
0,BYU,San Jose State,17,16,11.5,None
0,Clemson,Florida State,23,13,12.5,None
