,id0,id1,points_0,points_1
0,Alabama,Mississippi State,24.0,7.0
0,Oregon,Stanford,53.0,30.0
0,Southern Miss,UCF,30.0,29.0
0,Fresno State,New Mexico State,45.0,48.0
0,East Carolina,UTEP,17.0,22.0
0,BYU,Idaho,42.0,7.0
0,New Mexico,UNLV,21.0,14.0
0,Hawaii,Nevada,28.0,42.0
0,Arizona State,Washington State,27.0,37.0
0,Ball State,N. Illinois,38.0,41.0
0,Bowling Green,Ohio,28.0,29.0
0,"Miami, OH",W. Michigan,21.0,24.0
0,North Carolina,Virginia Tech,21.0,24.0
0,Southern Miss,UAB,31.0,34.0
0,Marshall,Memphis,23.0,22.0
0,Iowa State,Oklahoma State,37.0,31.0
0,C. Michigan,Toledo,17.0,44.0
0,Indiana,Michigan State,3.0,55.0
0,Michigan,Nebraska,45.0,17.0
0,Illinois,Wisconsin,17.0,28.0
0,Connecticut,Louisville,20.0,34.0
0,Minnesota,Northwestern,13.0,28.0
0,Cincinnati,Rutgers,3.0,20.0
0,Kansas,Texas A&M,7.0,61.0
0,Akron,Buffalo,10.0,51.0
0,Iowa,Purdue,31.0,21.0
0,Georgia,Kentucky,19.0,10.0
0,Duke,Georgia Tech,31.0,38.0
0,Army,Temple,14.0,42.0
0,E. Michigan,Kent State,22.0,28.0
0,New Mexico,Wyoming,10.0,31.0
0,Maryland,Wake Forest,10.0,31.0
0,Arkansas State,MTSU,45.0,19.0
0,Tulsa,UTEP,57.0,28.0
0,Arkansas,Mississippi State,44.0,17.0
0,Clemson,N.C. State,13.0,37.0
0,Houston,SMU,37.0,7.0
0,Colorado State,TCU,10.0,34.0
0,Ohio State,Penn State,14.0,20.0
0,"Miami, FL",South Florida,6.0,3.0
0,Missouri,Texas Tech,31.0,27.0
0,Oregon State,Washington State,38.0,21.0
0,Rice,Tulane,19.0,7.0
0,Florida Atlantic,Troy,7.0,34.0
0,Navy,San Jose State,24.0,27.0
0,Boston College,Notre Dame,14.0,16.0
0,La. Tech,Nevada,24.0,20.0
0,Idaho,Utah State,42.0,49.0
0,Utah,Washington State,30.0,27.0
0,FIU,La.-Monroe,28.0,17.0
0,Air Force,UNLV,45.0,17.0
0,LSU,Mississippi,52.0,3.0
0,East Carolina,UCF,38.0,31.0
0,North Texas,W. Kentucky,21.0,31.0
0,Tennessee,Vanderbilt,27.0,21.0
0,Florida State,Virginia,13.0,14.0
0,Colorado,UCLA,6.0,45.0
0,Oregon,Southern Cal,35.0,38.0
0,Baylor,Oklahoma,45.0,38.0
0,Boise State,San Diego State,52.0,35.0
0,Kansas State,Texas,17.0,13.0
0,Arizona,Arizona State,31.0,27.0
0,California,Stanford,28.0,31.0
0,BYU,New Mexico State,42.0,7.0
0,Fresno State,Hawaii,24.0,21.0
0,"Miami, OH",Ohio,14.0,21.0
0,Texas,Texas A&M,27.0,25.0
0,E. Michigan,N. Illinois,12.0,18.0
0,Louisville,South Florida,34.0,24.0
0,Houston,Tulsa,48.0,16.0
0,Iowa,Nebraska,7.0,20.0
0,Kent State,Temple,16.0,34.0
0,Bowling Green,Buffalo,42.0,28.0
0,Akron,W. Michigan,19.0,68.0
0,Ball State,Toledo,28.0,45.0
0,Arkansas,LSU,17.0,41.0
0,Colorado,Utah,17.0,14.0
0,Boston College,"Miami, FL",24.0,17.0
0,Pittsburgh,West Virginia,20.0,21.0
0,UCF,UTEP,31.0,14.0
0,Arizona State,California,38.0,47.0
0,Iowa State,Oklahoma,6.0,26.0
0,Georgia,Georgia Tech,31.0,17.0
0,Michigan State,Northwestern,31.0,17.0
0,Michigan,Ohio State,40.0,34.0
0,Connecticut,Rutgers,40.0,22.0
0,Cincinnati,Syracuse,30.0,13.0
0,Rice,SMU,24.0,27.0
0,Kentucky,Tennessee,10.0,7.0
0,Troy,W. Kentucky,18.0,41.0
0,Maryland,N.C. State,41.0,56.0
0,Boise State,Wyoming,36.0,14.0
0,Nevada,Utah State,17.0,21.0
0,Alabama,Auburn,42.0,14.0
0,Virginia,Virginia Tech,0.0,38.0
0,Oregon,Oregon State,49.0,21.0
